         2511326 function calls in 0.850 seconds

   Ordered by: cumulative time
   List reduced from 71 to 14 due to restriction <14>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100    0.003    0.000    0.827    0.008 /home/ubuntu/svalbard/projects/programmable_transceiver_platform/system_model/connected/rf_loaded_detector.py:30(advance)
      100    0.339    0.003    0.549    0.005 /home/ubuntu/svalbard/projects/programmable_transceiver_platform/system_model/connected/tx_power_detector.py:16(advance)
      100    0.032    0.000    0.265    0.003 /home/ubuntu/svalbard/projects/programmable_transceiver_platform/system_model/connected/rf_loaded_detector.py:10(voltage_terms)
     6525    0.025    0.000    0.127    0.000 /home/ubuntu/.local/lib/python3.12/site-packages/numpy/linalg/_linalg.py:1913(cond)
   991300    0.109    0.000    0.109    0.000 {method 'conjugate' of 'complex' objects}
     6525    0.047    0.000    0.079    0.000 /home/ubuntu/.local/lib/python3.12/site-packages/numpy/linalg/_linalg.py:1666(svd)
     6625    0.031    0.000    0.075    0.000 /home/ubuntu/.local/lib/python3.12/site-packages/numpy/linalg/_linalg.py:374(solve)
   475825    0.052    0.000    0.052    0.000 {built-in method cmath.exp}
   475825    0.044    0.000    0.044    0.000 {built-in method builtins.abs}
    13250    0.014    0.000    0.029    0.000 /home/ubuntu/.local/lib/python3.12/site-packages/numpy/linalg/_linalg.py:201(_commonType)
      100    0.013    0.000    0.021    0.000 /home/ubuntu/svalbard/projects/programmable_transceiver_platform/system_model/connected/tx_output_terms.py:5(output_terms)
    19775    0.010    0.000    0.019    0.000 /home/ubuntu/.local/lib/python3.12/site-packages/numpy/_core/_ufunc_config.py:472(__enter__)
      200    0.003    0.000    0.018    0.000 {built-in method builtins.any}
     6425    0.009    0.000    0.013    0.000 /home/ubuntu/.local/lib/python3.12/site-packages/numpy/lib/_twodim_base_impl.py:178(eye)


