         3126826 function calls (3124903 primitive calls) in 1.766 seconds

   Ordered by: internal time
   List reduced from 300 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    58575    0.379    0.000    0.569    0.000 _index_tricks_impl.py:343(__getitem__)
    19383    0.194    0.000    1.082    0.000 limited_coupled_driver.py:38(rhs)
   272060    0.079    0.000    0.092    0.000 {built-in method numpy.array}
     2118    0.076    0.000    1.117    0.001 radau.py:48(solve_collocation_system)
    12939    0.071    0.000    0.261    0.000 _util.py:1100(wrapper)
   458934    0.059    0.000    0.059    0.000 {built-in method builtins.isinstance}
    19525    0.058    0.000    0.115    0.000 managed_coupled_driver.py:15(source)
   389233    0.051    0.000    0.051    0.000 {method 'append' of 'list' objects}
    19383    0.042    0.000    0.132    0.000 current_limited_reference.py:11(power)
     1663    0.039    0.000    1.508    0.001 radau.py:405(_step_impl)
    11449    0.033    0.000    0.081    0.000 _decomp_lu.py:193(_lu_solve)
   174447    0.033    0.000    0.047    0.000 current_limited_reference.py:13(<genexpr>)
    19525    0.027    0.000    0.039    0.000 rf_driver_supply.py:16(source)
    25107    0.026    0.000    0.026    0.000 {method 'dot' of 'numpy.ndarray' objects}
   263034    0.025    0.000    0.025    0.000 {built-in method math.isfinite}
    37798    0.025    0.000    0.025    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    25386    0.025    0.000    0.076    0.000 {built-in method builtins.all}
    35837    0.022    0.000    0.071    0.000 _aliases.py:70(asarray)
    19537    0.019    0.000    0.036    0.000 fromnumeric.py:66(_wrapreduction)
    19383    0.018    0.000    0.027    0.000 rf_driver_supply.py:22(consumption)
     1663    0.016    0.000    0.021    0.000 ivp.py:134(find_active_events)
    19537    0.016    0.000    0.055    0.000 fromnumeric.py:2342(sum)
    63804    0.016    0.000    0.016    0.000 {built-in method builtins.max}
    24406    0.015    0.000    0.015    0.000 _util.py:1039(_deprecate_dtypes)
    12939    0.015    0.000    0.034    0.000 _function_base_impl.py:614(asarray_chkfinite)


