         60563942 function calls (60523469 primitive calls) in 34.304 seconds

   Ordered by: cumulative time
   List reduced from 300 to 25 due to restriction <25>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   34.304   34.304 tx_calibration_chip.py:115(advance)
        2    0.000    0.000   34.304   17.152 host_activation_chip.py:47(advance)
        2    0.000    0.000   34.304   17.152 coarse_startup_lifecycle.py:63(advance)
        3    0.000    0.000   34.304   11.435 calibration_adc_lifecycle.py:68(advance)
        4    0.000    0.000   34.304    8.576 calibration_lifecycle.py:77(advance)
        5    0.000    0.000   34.303    6.861 internal_monitor_lifecycle.py:41(advance)
        6    0.000    0.000   34.303    5.717 diagnostic_tile_lifecycle.py:33(advance)
        6    0.000    0.000   34.303    5.717 receiver_detect_supply.py:33(advance)
        7    0.000    0.000   34.303    4.900 receiver_detect_managed_adapter.py:37(advance)
        8    0.001    0.000   34.303    4.288 autonomous_rf_lifecycle.py:83(advance)
      180    0.000    0.000   34.176    0.190 autonomous_wire_lifecycle.py:77(advance)
      180    0.000    0.000   34.175    0.190 timed_management.py:108(advance)
      180    0.000    0.000   34.175    0.190 external_rf_lifecycle.py:21(advance)
      180    0.000    0.000   34.175    0.190 wired_idle_lifecycle.py:52(advance)
      180    0.000    0.000   34.174    0.190 live_wired_lifecycle.py:107(advance)
      180    0.000    0.000   34.174    0.190 rf_phase_lifecycle.py:35(advance)
      180    0.000    0.000   34.174    0.190 clock_lock_lifecycle.py:37(advance)
      180    0.000    0.000   34.174    0.190 wired_return_lifecycle.py:39(advance)
      180    0.000    0.000   34.173    0.190 rf_return_lifecycle.py:120(advance)
      180    0.000    0.000   34.173    0.190 timed_lifecycle.py:104(advance)
      180    0.000    0.000   34.172    0.190 whole_chip_lifecycle.py:36(advance)
      180    0.001    0.000   34.172    0.190 loaded_tx_chip.py:16(connected_advance)
       92    0.000    0.000   34.161    0.371 managed_driver_feedback.py:14(_drive_loaded_network)
       92    0.001    0.000   34.160    0.371 driver_pll_feedback.py:37(advance_feedback)
       92    0.029    0.000   34.149    0.371 driver_pll_feedback.py:12(_advance_feedback)


